Repo,Submodule,LOC,Dependencies
AntonyCheng__spring-boot-init-template,C:\Users\tyin363\Documents\repos\AntonyCheng__spring-boot-init-template,44972,1710
AntonyCheng__spring-boot-init-template,C:\Users\tyin363\Documents\repos\AntonyCheng__spring-boot-init-template\module\power-job-admin,20,1184
AntonyCheng__spring-boot-init-template,C:\Users\tyin363\Documents\repos\AntonyCheng__spring-boot-init-template\module\spring-boot-admin,48,1191
AntonyCheng__spring-boot-init-template,C:\Users\tyin363\Documents\repos\AntonyCheng__spring-boot-init-template\module\xxl-job-admin,6971,1190
apache__commons-bcel,C:\Users\tyin363\Documents\repos\apache__commons-bcel,79721,56
apache__commons-cli,C:\Users\tyin363\Documents\repos\apache__commons-cli,17451,43
apache__commons-codec,C:\Users\tyin363\Documents\repos\apache__commons-codec,40641,38
apache__commons-collections,C:\Users\tyin363\Documents\repos\apache__commons-collections,124081,42
apache__commons-compress,C:\Users\tyin363\Documents\repos\apache__commons-compress,117058,62
apache__commons-csv,C:\Users\tyin363\Documents\repos\apache__commons-csv,14911,55
apache__commons-dbcp,C:\Users\tyin363\Documents\repos\apache__commons-dbcp,44301,57
apache__commons-dbutils,C:\Users\tyin363\Documents\repos\apache__commons-dbutils,14333,40
apache__commons-fileupload,C:\Users\tyin363\Documents\repos\apache__commons-fileupload\commons-fileupload2-core,7713,38
apache__commons-fileupload,C:\Users\tyin363\Documents\repos\apache__commons-fileupload\commons-fileupload2-jakarta-servlet5,1894,41
apache__commons-fileupload,C:\Users\tyin363\Documents\repos\apache__commons-fileupload\commons-fileupload2-jakarta-servlet6,1871,41
apache__commons-fileupload,C:\Users\tyin363\Documents\repos\apache__commons-fileupload\commons-fileupload2-javax,1360,40
apache__commons-fileupload,C:\Users\tyin363\Documents\repos\apache__commons-fileupload\commons-fileupload2-portlet,513,42
apache__commons-imaging,C:\Users\tyin363\Documents\repos\apache__commons-imaging,62046,45
apache__commons-io,C:\Users\tyin363\Documents\repos\apache__commons-io,101159,51
apache__commons-jexl,C:\Users\tyin363\Documents\repos\apache__commons-jexl,74093,47
apache__commons-lang,C:\Users\tyin363\Documents\repos\apache__commons-lang,169599,43
apache__commons-net,C:\Users\tyin363\Documents\repos\apache__commons-net,51062,42
apache__commons-pool,C:\Users\tyin363\Documents\repos\apache__commons-pool,27385,38
apache__commons-text,C:\Users\tyin363\Documents\repos\apache__commons-text,47360,57
apache__commons-validator,C:\Users\tyin363\Documents\repos\apache__commons-validator,31422,45
apache__commons-vfs,C:\Users\tyin363\Documents\repos\apache__commons-vfs\commons-vfs2,58308,127
apache__commons-vfs,C:\Users\tyin363\Documents\repos\apache__commons-vfs\commons-vfs2-ant,1097,138
apache__commons-vfs,C:\Users\tyin363\Documents\repos\apache__commons-vfs\commons-vfs2-examples,1392,119
