submodule,normalised_direct_deps,normalised_transitive_deps
aizuda__snail-job_snail-job-sqlserver-datasource,0,0
alibaba__java-dns-cache-manipulator_library,0.0,0
alibaba__java-dns-cache-manipulator_tool,0.0,0
alibaba__transmittable-thread-local_sample-ttl-agent-extension-transformlet,0.0,0
alibaba__transmittable-thread-local_ttl-agent,0.0,0
alibaba__transmittable-thread-local_ttl-core,0.0,0
alibaba__transmittable-thread-local_ttl2-compatible,0.0,0
alibaba__transmittable-thread-local_vertx3-ttl-integration,0.0,0
alibaba__transmittable-thread-local_vertx4-ttl-integration,0.0,0
Alovoa__alovoa_Alovoa__alovoa,0.0,0.0888030888030888
Amazingwujun__mqttx_Amazingwujun__mqttx,0.0,0.23404255319148937
apache__commons-cli_apache__commons-cli,0,0
apache__commons-csv_apache__commons-csv,0.0,0
apache__commons-dbutils_apache__commons-dbutils,0,0
apache__commons-fileupload_commons-fileupload2-core,0.0,0
apache__commons-fileupload_commons-fileupload2-jakarta-servlet5,0.0,0
apache__commons-fileupload_commons-fileupload2-jakarta-servlet6,0.0,0
apache__commons-fileupload_commons-fileupload2-javax,0.0,0
apache__commons-fileupload_commons-fileupload2-portlet,0.0,0
apache__commons-vfs_commons-vfs2-ant,0.0,0
apache__commons-vfs_commons-vfs2-examples,0.0,0
apache__commons-vfs_commons-vfs2-hdfs,0.0,0.0
apache__commons-vfs_commons-vfs2-jackrabbit1,0.0,0
apache__commons-vfs_commons-vfs2-jackrabbit2,0.0,0.0
apache__commons-vfs_commons-vfs2-sandbox,0.0,0.0
apache__curator_curator-client,0.0,0.0
apache__curator_curator-examples,0.0,0.0
apache__curator_curator-test,0.0,0.0
apache__curator_curator-x-async,0.0,0.0
apache__curator_curator-x-discovery,0.0,0.0
apache__curator_curator-x-discovery-server,0.0,0.0
apache__flink-kubernetes-operator_autoscaling,0.0,0.0
apache__flink-kubernetes-operator_flink-autoscaler,0.0,0.0
apache__flink-kubernetes-operator_flink-autoscaler-plugin-jdbc,0.0,0.0
apache__flink-kubernetes-operator_flink-autoscaler-standalone,0.0,0.0
apache__flink-kubernetes-operator_flink-kubernetes-docs,0.0,0
apache__flink-kubernetes-operator_flink-kubernetes-operator-api,0.0,0.0
apache__flink-kubernetes-operator_flink-kubernetes-standalone,0.0,0.0
apache__flink-kubernetes-operator_flink-kubernetes-webhook,0.0,0.0
apache__flink-kubernetes-operator_flink-sql-runner-example,0.0,0.0
apache__flink-kubernetes-operator_kubernetes-client-examples,0,0
apache__helix_distributed-lock-manager,0,0
apache__helix_helix-agent,0.0,0
apache__helix_helix-common,0,0
apache__helix_helix-lock,0,0
apache__helix_helix-rest,0.016666666666666666,0.40425531914893614
apache__helix_helix-view-aggregator,0.018518518518518517,0
apache__helix_meta-client,0.0,0
apache__helix_metadata-store-directory-common,0.0,0
apache__helix_metrics-common,0.0,0
apache__helix_rabbitmq-consumer-group,0.0,0
apache__helix_rsync-replicated-file-system,0.0,0
apache__helix_service-discovery,0,0
apache__helix_task-execution,0.0,0
apache__hertzbeat_hertzbeat-base,0,0
apache__hertzbeat_hertzbeat-collector-collector,0.0,0.0
apache__hertzbeat_hertzbeat-collector-common,0.0,0.0
apache__hertzbeat_hertzbeat-collector-kafka,0.0,0.0
apache__hertzbeat_hertzbeat-collector-mongodb,0.0,0.0
apache__hertzbeat_hertzbeat-collector-nebulagraph,0,0.0
apache__hertzbeat_hertzbeat-collector-rocketmq,0.0,0.0
apache__hertzbeat_hertzbeat-grafana,0.0,0.0
apache__hertzbeat_hertzbeat-mcp,0.0,0.0
apache__hertzbeat_hertzbeat-otel,0.0,0.0
apache__hertzbeat_hertzbeat-plugin,0,0
apache__hertzbeat_hertzbeat-push,0.0,0.0
apache__hertzbeat_hertzbeat-remoting,0,0.7547169811320755
apache__hertzbeat_hertzbeat-template-hub,0.0,0.0
apache__hertzbeat_hertzbeat-warehouse,0.4126984126984127,0.0641025641025641
apache__incubator-kie-optaplanner_deployment,0.0,0
apache__incubator-kie-optaplanner_devui-integration-test,0,0.0
apache__incubator-kie-optaplanner_drl-integration-test,0,0.0
