project,submodule,total_unique_dependencies,omitted_conflict_count,omitted_conflict_percentage,version_managed_count,version_managed_percentage
apache__commons-validator,apache__commons-validator,22,0,0.0,1,4.55
apache__commons-vfs,commons-vfs2,44,0,0.0,1,2.27
apache__commons-vfs,commons-vfs2-ant,15,0,0.0,0,0.0
apache__commons-vfs,commons-vfs2-examples,14,0,0.0,3,21.43
apache__commons-vfs,commons-vfs2-hdfs,132,6,4.55,8,6.06
apache__commons-vfs,commons-vfs2-jackrabbit1,25,0,0.0,1,4.0
apache__commons-vfs,commons-vfs2-jackrabbit2,147,4,2.72,3,2.04
apache__commons-vfs,commons-vfs2-sandbox,21,0,0.0,1,4.76
apache__flink-kubernetes-operator,autoscaling,52,0,0.0,0,0.0
apache__flink-kubernetes-operator,flink-sql-runner-example,51,0,0.0,0,0.0
apache__flink-kubernetes-operator,kubernetes-client-examples,98,0,0.0,0,0.0
apache__flink-kubernetes-operator,flink-autoscaler,78,0,0.0,0,0.0
apache__flink-kubernetes-operator,flink-autoscaler-plugin-jdbc,88,0,0.0,0,0.0
apache__flink-kubernetes-operator,flink-autoscaler-standalone,55,0,0.0,0,0.0
apache__flink-kubernetes-operator,flink-kubernetes-docs,106,0,0.0,0,0.0
apache__flink-kubernetes-operator,flink-kubernetes-operator,171,0,0.0,0,0.0
apache__flink-kubernetes-operator,flink-kubernetes-operator-api,98,0,0.0,0,0.0
apache__flink-kubernetes-operator,flink-kubernetes-standalone,85,0,0.0,0,0.0
apache__flink-kubernetes-operator,flink-kubernetes-webhook,129,0,0.0,0,0.0
apache__fory,graalvm_tests,9,0,0.0,0,0.0
apache__fory,jpms_tests,26,0,0.0,2,7.69
apache__fory,benchmark,54,6,11.11,1,1.85
apache__fory,fory-core,12,0,0.0,0,0.0
apache__fory,fory-extensions,12,0,0.0,0,0.0
apache__fory,fory-format,23,0,0.0,2,8.7
apache__fory,fory-test-core,23,2,8.7,1,4.35
apache__fory,kotlin,16,1,6.25,0,0.0
apache__helix,metadata-store-directory-common,27,0,0.0,0,0.0
apache__helix,metrics-common,12,0,0.0,0,0.0
apache__hertzbeat,hertzbeat-alerter,125,0,0.0,19,15.2
apache__hertzbeat,hertzbeat-base,52,0,0.0,4,7.69
apache__hertzbeat,hertzbeat-collector-basic,146,0,0.0,22,15.07
apache__hertzbeat,hertzbeat-collector-collector,72,0,0.0,4,5.56
apache__hertzbeat,hertzbeat-collector-common,80,0,0.0,6,7.5
apache__hertzbeat,hertzbeat-collector-kafka,57,0,0.0,4,7.02
apache__hertzbeat,hertzbeat-collector-mongodb,57,0,0.0,6,10.53
apache__hertzbeat,hertzbeat-collector-nebulagraph,69,0,0.0,8,11.59
apache__hertzbeat,hertzbeat-collector-rocketmq,102,0,0.0,8,7.84
apache__hertzbeat,hertzbeat-common,149,2,1.34,13,8.72
apache__hertzbeat,hertzbeat-grafana,95,0,0.0,7,7.37
apache__hertzbeat,hertzbeat-manager,191,1,0.52,26,13.61
apache__hertzbeat,hertzbeat-mcp,105,0,0.0,14,13.33
apache__hertzbeat,hertzbeat-otel,115,2,1.74,12,10.43
