Repo Name,Repo Size (KB),Has Commit 30,Has Commit 60,Has Commit 90,Has Commit 180,Has Commit 365
gunnarmorling/1brc,2744,False,False,False,False,False
h2pl/JavaTutorial,4933,True,True,True,True,True
AntennaPod/AntennaPod,112244,True,True,True,True,True
mrniko/netty-socketio,2254,False,False,True,True,True
dependency-check/DependencyCheck,294241,True,True,True,True,True
DroidPluginTeam/DroidPlugin,1859,False,False,False,False,False
alibaba/jvm-sandbox,1874,False,False,False,False,True
hongyangAndroid/okhttputils,17152,False,False,False,False,False
Meituan-Dianping/walle,528,False,False,False,False,False
wiremock/wiremock,47899,True,True,True,True,True
Genymobile/gnirehtet,1036,False,False,False,False,False
zo0r/react-native-push-notification,1688,False,False,False,False,False
rabbitmq/rabbitmq-tutorials,5437,True,True,True,True,True
Angel-ML/angel,93424,False,False,False,False,False
macrozheng/springcloud-learning,261,False,False,False,False,True
smuyyh/BookReader,31940,False,False,False,False,False
markzhai/AndroidPerformanceMonitor,1077,False,False,False,False,False
zouzg/mybatis-generator-gui,14934,False,False,False,False,False
guardianproject/haven,24387,False,False,False,False,False
hongyangAndroid/AndroidAutoLayout,7466,False,False,False,False,False
527515025/springBoot,868,False,False,False,False,False
gzu-liyujiang/AndroidPicker,28194,False,False,False,True,True
yanzhenjie/AndPermission,1665,False,False,False,False,False
junit-team/junit5,710931,True,True,True,True,True
getActivity/AndroidProject,89374,False,False,False,False,False
apache/storm,155578,True,True,True,True,True
fuzhengwei/itstack-demo-design,1827,False,False,False,False,False
Meituan-Dianping/Leaf,149,False,False,False,False,False
AutoMQ/automq,165949,True,True,True,True,True
GrenderG/Toasty,977,False,False,False,False,False
CoderLeixiaoshuai/java-eight-part,308,False,False,False,False,False
NLPchina/ansj_seg,352518,False,False,False,False,False
processing/processing,1648017,True,True,True,True,True
quartz-scheduler/quartz,26596,False,True,True,True,True
raphw/byte-buddy,1006254,True,True,True,True,True
ximsfei/Android-skin-support,54130,False,False,False,False,False
apache/zeppelin,107366,True,True,True,True,True
JesusFreke/smali,9535,False,False,False,False,False
vinc3m1/RoundedImageView,8746,False,False,False,False,False
Col-E/Recaf,59300,True,True,True,True,True
ArthurHub/Android-Image-Cropper,26047,False,False,False,False,False
wxiaoqi/Spring-Cloud-Platform,212466,False,False,False,False,True
jOOQ/jOOQ,278845,True,True,True,True,True
exadel-inc/CompreFace,566295,False,False,False,False,True
AsyncHttpClient/async-http-client,19103,True,True,True,True,True
sshahine/JFoenix,28243,False,False,False,False,False
hazelcast/hazelcast,414332,True,True,True,True,True
aa112901/remusic,115952,False,False,False,False,False
