library_name,projects_affected,unique_selected_versions,unique_conflicting_versions,conflict_type_breakdown,avg_selected_depth,min_selected_depth,max_selected_depth,avg_conflicting_depth,min_conflicting_depth,max_conflicting_depth,total_conflicts
jakarta.annotation:jakarta.annotation-api,4,3,4,"{'omitted_conflict': 3, 'version_managed': 2}",2.0,2,2,2.4,2,3,5
org.jetbrains.kotlinx:kotlinx-coroutines-debug,1,1,1,{'version_managed': 5},3.0,3,3,3.0,3,3,5
org.jetbrains.kotlinx:kotlinx-coroutines-jdk8,1,1,1,{'version_managed': 5},2.0,2,2,2.0,2,2,5
com.google.api.grpc:proto-google-common-protos,2,2,5,"{'omitted_conflict': 4, 'version_managed': 1}",2.0,2,2,2.6,2,4,5
io.grpc:grpc-netty-shaded,3,3,5,"{'omitted_conflict': 3, 'version_managed': 2}",2.0,2,2,2.0,2,2,5
io.netty:netty-tcnative-boringssl-static,4,2,3,{'version_managed': 5},5.0,3,7,5.0,3,7,5
jakarta.ws.rs:jakarta.ws.rs-api,3,1,1,"{'version_managed': 3, 'omitted_conflict': 2}",2.4,2,3,2.8,2,3,5
io.vertx:vertx-codegen,1,2,2,{'version_managed': 5},2.8,0,7,2.8,0,7,5
org.springframework.boot:spring-boot-starter-validation,4,3,3,{'version_managed': 5},2.8,2,4,2.8,2,4,5
org.projectlombok:lombok,3,3,3,{'version_managed': 5},2.0,2,2,2.0,2,2,5
org.jetbrains.kotlinx:kotlinx-coroutines-test-jvm,1,1,1,{'version_managed': 5},3.0,3,3,3.0,3,3,5
org.ow2.asm:asm-util,2,2,2,"{'version_managed': 4, 'omitted_conflict': 1}",4.0,2,5,4.6,4,5,5
org.assertj:assertj-core,1,1,3,{'omitted_conflict': 5},1.0,1,1,2.2,2,3,5
org.easymock:easymock,1,1,1,{'omitted_conflict': 5},1.0,1,1,2.0,2,2,5
io.micronaut:micronaut-http,1,3,3,{'omitted_conflict': 5},2.0,2,2,2.2,2,3,5
org.apache.maven.resolver:maven-resolver-api,1,1,1,{'version_managed': 4},5.0,5,5,5.0,5,5,4
org.apache.maven.resolver:maven-resolver-impl,1,1,1,{'version_managed': 4},5.0,5,5,5.0,5,5,4
org.springframework:spring-jdbc,4,4,4,"{'version_managed': 3, 'omitted_conflict': 1}",2.5,2,4,2.5,2,4,4
org.apache.maven.resolver:maven-resolver-util,1,1,1,{'version_managed': 4},5.0,5,5,5.0,5,5,4
org.apache.httpcomponents:httpcore-nio,3,1,3,{'version_managed': 4},2.75,2,3,2.75,2,3,4
org.testcontainers:testcontainers,2,2,2,"{'version_managed': 3, 'omitted_conflict': 1}",1.75,1,2,2.0,2,2,4
com.fasterxml.jackson.dataformat:jackson-dataformat-cbor,4,2,3,{'version_managed': 4},4.5,3,6,4.5,3,6,4
org.apache.maven.resolver:maven-resolver-spi,1,1,1,{'version_managed': 4},5.0,5,5,5.0,5,5,4
org.apache.httpcomponents:httpmime,1,2,2,{'version_managed': 4},1.5,0,2,1.5,0,2,4
org.apache.avro:avro,2,2,3,"{'omitted_conflict': 2, 'version_managed': 2}",1.75,1,3,2.25,2,3,4
org.springframework:spring-jcl,3,4,4,"{'version_managed': 3, 'omitted_conflict': 1}",2.0,2,2,2.0,2,2,4
org.apache.maven:maven-builder-support,1,1,1,{'version_managed': 4},5.0,5,5,5.0,5,5,4
com.nimbusds:nimbus-jose-jwt,2,2,4,"{'version_managed': 3, 'omitted_conflict': 1}",3.0,2,4,3.0,2,4,4
org.jetbrains.kotlinx:kotlinx-coroutines-core-jvm,1,1,1,{'version_managed': 4},2.0,2,2,2.0,2,2,4
com.thoughtworks.xstream:xstream,2,1,2,{'version_managed': 4},4.0,3,5,4.0,3,5,4
commons-cli:commons-cli,2,1,2,"{'version_managed': 3, 'omitted_conflict': 1}",2.25,1,3,2.75,2,3,4
org.hswebframework:hsweb-easy-orm-rdb,1,1,1,{'version_managed': 4},2.25,2,3,2.25,2,3,4
com.google.auto:auto-common,2,2,1,{'omitted_conflict': 4},1.25,1,2,2.0,2,2,4
org.glassfish.jersey.connectors:jersey-apache-connector,3,2,2,{'version_managed': 4},2.5,2,4,2.5,2,4,4
io.grpc:grpc-core,2,2,4,"{'omitted_conflict': 3, 'version_managed': 1}",2.25,2,3,2.25,2,3,4
org.eclipse.microprofile.config:microprofile-config-api,1,2,2,"{'omitted_conflict': 3, 'version_managed': 1}",0.75,0,1,2.0,0,3,4
io.grpc:grpc-protobuf,3,3,4,"{'omitted_conflict': 2, 'version_managed': 2}",2.0,2,2,2.0,2,2,4
io.grpc:grpc-stub,2,2,4,"{'omitted_conflict': 3, 'version_managed': 1}",2.0,2,2,2.0,2,2,4
org.eclipse.jetty:jetty-server,4,4,4,"{'version_managed': 3, 'omitted_conflict': 1}",1.75,1,2,2.25,2,3,4
org.eclipse.jetty:jetty-client,2,2,2,{'version_managed': 4},3.5,2,4,3.5,2,4,4
io.micrometer:micrometer-core,4,3,3,{'version_managed': 4},3.75,2,5,3.75,2,5,4
io.micronaut:micronaut-aop,1,3,3,{'omitted_conflict': 4},2.0,2,2,2.5,2,3,4
io.micronaut:micronaut-core,1,2,2,{'omitted_conflict': 4},2.0,2,2,3.0,3,3,4
com.amazonaws:aws-java-sdk-core,1,1,2,{'omitted_conflict': 4},1.0,1,1,2.0,2,2,4
org.springframework.boot:spring-boot,3,3,3,"{'omitted_conflict': 3, 'version_managed': 1}",3.25,2,4,3.75,2,5,4
org.codehaus.plexus:plexus-interpolation,1,1,1,{'version_managed': 4},5.0,5,5,5.0,5,5,4
