project,num_submodules,total_dependencies,avg_dependencies_per_submodule,total_omitted_conflicts,total_version_managed_conflicts,avg_omitted_conflict_percentage,avg_version_managed_percentage,total_conflicts,avg_conflict_percentage
cantaloupe-project__cantaloupe,1,181,181.0,26,0,14.36,0.0,26,14.36
cantaloupe-project__cantaloupe_temp_0,1,0,0.0,0,0,0.0,0.0,0,0.0
caprica__vlcj,1,4,4.0,0,0,0.0,0.0,0,0.0
casbin__jcasbin,1,24,24.0,0,0,0.0,0.0,0,0.0
casid__jte,19,396,20.84,4,11,0.38,1.44,4,0.38
castlemock__castlemock,21,1174,55.9,27,120,1.6,9.79,27,1.6
castorini__anserini,1,71,71.0,8,0,11.27,0.0,8,11.27
centic9__jgit-cookbook,1,26,26.0,4,0,15.38,0.0,4,15.38
cerberustesting__cerberus-core,1,209,209.0,41,0,19.62,0.0,41,19.62
ch4mpy__spring-addons,28,2508,89.57,0,294,0.0,12.18,0,0.0
chaosblade-io__chaosblade-exec-jvm,28,505,18.04,31,0,5.99,0.0,31,5.99
checkstyle__checkstyle,1,69,69.0,9,2,13.04,2.9,9,13.04
chillzhuang__blade-tool,21,3311,157.67,8,339,0.23,10.09,8,0.23
chinabugotech__hutool,21,556,26.48,24,0,1.56,0.0,24,1.56
chocoteam__choco-solver,3,64,21.33,5,0,7.79,0.0,5,7.79
classgraph__classgraph,1,44,44.0,1,0,2.27,0.0,1,2.27
cloudfoundry__cf-java-client,6,359,59.83,0,26,0.0,6.14,0,0.0
cloudsimplus__cloudsimplus,1,21,21.0,0,0,0.0,0.0,0,0.0
