project,num_submodules,total_dependencies,avg_dependencies_per_submodule,total_omitted_conflicts,total_version_managed_conflicts,avg_omitted_conflict_percentage,avg_version_managed_percentage,total_conflicts,avg_conflict_percentage
mojohaus__flatten-maven-plugin,3,68,22.67,3,1,2.13,0.71,3,2.13
mojohaus__versions,6,277,46.17,19,14,4.63,3.66,19,4.63
mongojack__mongojack,1,34,34.0,1,0,2.94,0.0,1,2.94
moquette-io__moquette,3,145,48.33,11,0,7.01,0.0,11,7.01
moyangzhan__langchain4j-aideepin,4,1051,262.75,36,88,3.43,8.38,36,3.43
mr-m0nst3r__Burpy,1,7,7.0,0,0,0.0,0.0,0,0.0
mwilliamson__java-mammoth,1,8,8.0,0,0,0.0,0.0,0,0.0
mybatis-flex__mybatis-flex,14,796,56.86,75,16,7.44,1.27,75,7.44
mybatis-mapper__mapper,6,109,18.17,0,11,0.0,13.63,0,0.0
mybatis__jpetstore-6,1,91,91.0,8,0,8.79,0.0,8,8.79
mybatis__migrations,1,20,20.0,2,0,10.0,0.0,2,10.0
mybatis__mybatis-3,1,58,58.0,5,0,8.62,0.0,5,8.62
mybatis__mybatis-dynamic-sql,1,66,66.0,7,0,10.61,0.0,7,10.61
mybatis__redis-cache,1,17,17.0,1,0,5.88,0.0,1,5.88
mybatis__spring,1,53,53.0,12,0,22.64,0.0,12,22.64
naturalprogrammer__spring-lemon,10,1420,142.0,29,122,2.11,8.74,29,2.11
navinreddy20__MicroserviceTutorials,4,561,140.25,14,93,2.47,16.61,14,2.47
neo4j__neo4j-java-driver,5,114,22.8,0,3,0.0,1.5,0,0.0
neolord0__hwplib,1,0,0.0,0,0,0.0,0.0,0,0.0
netfishers-onl__Netshot,1,181,181.0,3,0,1.66,0.0,3,1.66
networknt__json-schema-validator,1,32,32.0,2,0,6.25,0.0,2,6.25
netxms__netxms,11,178,16.18,9,0,2.4,0.0,9,2.4
nguyenq__tess4j,1,28,28.0,2,0,7.14,0.0,2,7.14
nitrite__nitrite-java,6,191,31.83,3,0,1.21,0.0,3,1.21
niumoo__bing-wallpaper,1,4,4.0,0,0,0.0,0.0,0,0.0
no1xuan__HivisionIDPhotos-wechat-weapp,1,102,102.0,0,0,0.0,0.0,0,0.0
nutzam__nutz,1,8,8.0,0,0,0.0,0.0,0,0.0
nysenate__OpenLegislation,1,122,122.0,12,0,9.84,0.0,12,9.84
oaqa__FlexNeuART,1,73,73.0,5,0,6.85,0.0,5,6.85
obsidiandynamics__kafdrop,1,156,156.0,7,21,4.49,13.46,7,4.49
odrotbohm__spring-restbucks,1,182,182.0,1,16,0.55,8.79,1,0.55
ofdrw__ofdrw,13,310,23.85,3,0,0.35,0.0,3,0.35
okta__okta-spring-boot,9,840,93.33,5,149,0.6,17.59,5,0.6
oldratlee__fucking-java-concurrency,1,0,0.0,0,0,0.0,0.0,0,0.0
ollama4j__ollama4j,1,30,30.0,2,0,6.67,0.0,2,6.67
omnifaces__omnifaces,1,237,237.0,31,0,13.08,0.0,31,13.08
ontodev__robot,4,524,131.0,59,0,11.11,0.0,59,11.11
ontop__ontop,17,1677,98.65,3,264,0.26,17.9,3,0.26
openanalytics__shinyproxy,1,330,330.0,10,20,3.03,6.06,10,3.03
opengoofy__crane4j,10,596,59.6,13,33,2.32,5.49,13,2.32
openjdk__jcstress,19,94,4.95,0,1,0.0,0.75,0,0.0
openjdk__jmh,8,30,3.75,0,0,0.0,0.0,0,0.0
openmrs__openmrs-core,4,729,182.25,49,78,5.19,10.45,49,5.19
openpnp__openpnp,1,0,0.0,0,0,0.0,0.0,0,0.0
openshift__jenkins-client-plugin,1,159,159.0,0,16,0.0,10.06,0,0.0
openskynetwork__opensky-api,1,8,8.0,0,0,0.0,0.0,0,0.0
opentable__otj-pg-embedded,1,39,39.0,3,1,7.69,2.56,3,7.69
openzipkin__zipkin,14,849,60.64,52,23,7.96,1.35,52,7.96
operator-framework__java-operator-sdk,11,837,76.09,19,1,2.64,0.08,19,2.64
optimatika__ojAlgo,1,12,12.0,0,0,0.0,0.0,0,0.0
orientechnologies__orientdb,15,739,49.27,39,0,4.7,0.0,39,4.7
oripa__oripa,1,38,38.0,3,0,7.89,0.0,3,7.89
orphan-oss__launch4j-maven-plugin,1,61,61.0,4,0,6.56,0.0,4,6.56
orphan-oss__ognl,2,19,9.5,0,0,0.0,0.0,0,0.0
oshi__oshi,3,34,11.33,0,0,0.0,0.0,0,0.0
ozlerhakan__poiji,1,16,16.0,2,0,12.5,0.0,2,12.5
p2-inc__keycloak-events,1,314,314.0,59,0,18.79,0.0,59,18.79
p2-inc__keycloak-magic-link,1,179,179.0,36,0,20.11,0.0,36,20.11
p2-inc__keycloak-orgs,1,322,322.0,63,0,19.57,0.0,63,19.57
pac4j__spring-security-pac4j,1,51,51.0,1,0,1.96,0.0,1,1.96
pagehelper__Mybatis-PageHelper,1,24,24.0,0,0,0.0,0.0,0,0.0
pagehelper__pagehelper-spring-boot,3,78,26.0,0,4,0.0,4.17,0,0.0
paritytrading__philadelphia,15,39,2.6,0,0,0.0,0.0,0,0.0
paul-hammant__qdox,1,14,14.0,0,0,0.0,0.0,0,0.0
paulcwarren__spring-content,15,1736,115.73,36,281,2.16,17.15,36,2.16
pazone__ashot,1,42,42.0,3,0,7.14,0.0,3,7.14
pen4uin__java-memshell-generator,13,131,10.08,0,0,0.0,0.0,0,0.0
pengpan__91160-cli,1,43,43.0,2,0,4.65,0.0,2,4.65
perplexhub__rsql-jpa-specification,6,549,91.5,0,38,0.0,7.25,0,0.0
petoncle__mousemaster,1,12,12.0,1,0,8.33,0.0,1,8.33
petterobam__html2file,1,0,0.0,0,0,0.0,0.0,0,0.0
pig-mesh__excel-spring-boot-starter,1,97,97.0,0,13,0.0,13.4,0,0.0
pig-mesh__oss-spring-boot-starter,1,116,116.0,0,16,0.0,13.79,0,0.0
pig-mesh__pig,21,3806,181.24,22,538,0.44,13.79,22,0.44
pilgrimage233__Minecraft-Rcon-Manage,8,859,107.38,1,88,0.09,10.38,1,0.09
pinterest__secor,1,215,215.0,41,4,19.07,1.86,41,19.07
piomin__sample-spring-kafka-microservices,4,449,112.25,9,72,1.5,12.03,9,1.5
piomin__sample-spring-microservices-advanced,6,1063,177.17,19,133,1.68,12.9,19,1.68
piomin__sample-spring-microservices-kubernetes,5,908,181.6,4,129,0.37,14.5,4,0.37
piomin__sample-spring-microservices-new,6,844,140.67,5,140,0.68,17.32,5,0.68
piomin__spring-boot-logging,7,402,57.43,21,15,5.24,2.78,21,5.24
pircbotx__pircbotx,1,25,25.0,0,0,0.0,0.0,0,0.0
pivovarit__parallel-collectors,1,24,24.0,1,0,4.17,0.0,1,4.17
pivovarit__throwing-function,1,16,16.0,4,0,25.0,0.0,4,25.0
pixelsdb__pixels,31,2931,94.55,281,217,9.37,7.22,281,9.37
plantuml__plantuml-server,1,157,157.0,15,0,9.55,0.0,15,9.55
playn__playn,7,104,14.86,7,0,1.72,0.0,7,1.72
plutext__docx4j,22,351,15.95,16,0,3.04,0.0,16,3.04
pnoker__iot-dc3,15,2933,195.53,33,346,1.12,11.81,33,1.12
praxis-live__praxis-live,19,735,38.68,0,0,0.0,0.0,0,0.0
primefaces__primefaces,6,425,70.83,32,0,6.27,0.0,32,6.27
prometheus__jmx_exporter,7,188,26.86,3,0,0.82,0.0,3,0.82
protegeproject__protege,4,379,94.75,53,0,13.98,0.0,53,13.98
pwm-project__pwm,5,266,53.2,34,0,7.05,0.0,34,7.05
pytorch__serve,1,8,8.0,0,0,0.0,0.0,0,0.0
qaiu__netdisk-fast-download,2,69,34.5,0,1,0.0,1.35,0,0.0
qbhy__poster-generater,1,95,95.0,0,0,0.0,0.0,0,0.0
qifan777__dive-into-spring-ai,1,304,304.0,20,36,6.58,11.84,20,6.58
qoomon__maven-git-versioning-extension,1,54,54.0,9,0,16.67,0.0,9,16.67
qqxx6661__log-record,3,240,80.0,1,22,0.34,8.6,1,0.34
querydsl__querydsl,23,771,33.52,0,34,0.0,4.76,0,0.0
rabbitmq__rabbitmq-java-client,1,113,113.0,12,1,10.62,0.88,12,10.62
rabbitmq__rabbitmq-perf-test,1,58,58.0,7,0,12.07,0.0,7,12.07
rabbitmq__rabbitmq-tutorials,4,107,26.75,3,10,4.03,6.94,3,4.03
rampatra__jbot,2,145,72.5,0,10,0.0,6.9,0,0.0
raydac__java-binary-block-parser,10,171,17.1,13,0,7.56,0.0,13,7.56
rayokota__hgraphdb,1,250,250.0,44,0,17.6,0.0,44,17.6
rayokota__kareldb,2,528,264.0,56,5,10.61,0.95,56,10.61
rayokota__kcache,8,628,78.5,26,6,4.04,1.01,26,4.04
rbmonster__learning-note,1,303,303.0,0,0,0.0,0.0,0,0.0
redfx-quantum__strange,1,7,7.0,0,0,0.0,0.0,0,0.0
redis__jedis,1,93,93.0,18,0,19.35,0.0,18,19.35
redis__lettuce,1,182,182.0,21,13,11.54,7.14,21,11.54
redplanetlabs__twitter-scale-mastodon,2,467,233.5,51,32,11.62,5.7,51,11.62
refactorfirst__RefactorFirst,9,338,37.56,32,4,5.7,1.18,32,5.7
reficio__p2-maven-plugin,3,85,28.33,5,1,1.96,0.39,5,1.96
remkop__picocli,4,8,2.0,0,0,0.0,0.0,0,0.0
restfb__restfb,1,17,17.0,2,0,11.76,0.0,2,11.76
reugn__dev-tools,1,29,29.0,2,0,6.9,0.0,2,6.9
revelc__formatter-maven-plugin,2,88,44.0,7,6,3.98,3.41,7,3.98
rieckpil__testing-spring-boot-applications-masterclass,1,258,258.0,3,29,1.16,11.24,3,1.16
risesoft-y9__DataFlow-Engine,27,2239,82.93,41,141,1.16,4.69,41,1.16
risesoft-y9__Email,4,580,145.0,8,66,1.03,10.67,8,1.03
risesoft-y9__Network-Drive,3,564,188.0,9,56,1.79,9.32,9,1.79
roinli__HUIZHI-ChargeOS-cloud,22,3322,151.0,33,409,0.7,11.56,33,0.7
ron190__jsql-injection,2,249,124.5,5,17,1.21,4.11,5,1.21
roncoo__roncoo-education,10,2378,237.8,95,187,3.95,7.4,95,3.95
rongcloud__server-sdk-java,1,17,17.0,2,0,11.76,0.0,2,11.76
roskenet__springboot-javafx-support,1,62,62.0,6,0,9.68,0.0,6,9.68
rstoyanchev__spring-websocket-portfolio,1,104,104.0,10,3,9.62,2.88,10,9.62
rubenlagus__TelegramBots,9,463,51.44,2,33,0.58,6.59,2,0.58
rule-engine__rule-engine-open,1,19,19.0,1,0,5.26,0.0,1,5.26
runelite__runelite,5,129,25.8,4,3,1.92,2.93,4,1.92
rymcu__forest,1,0,0.0,0,0,0.0,0.0,0,0.0
s3-wagon-private__s3-wagon-private,1,23,23.0,3,0,13.04,0.0,3,13.04
salesforce__reactive-grpc,20,664,33.2,40,30,6.01,5.18,40,6.01
samskivert__jmustache,1,4,4.0,0,0,0.0,0.0,0,0.0
sanluan__PublicCMS,8,336,42.0,10,10,1.43,4.06,10,1.43
saoshao__DetSql,1,5,5.0,1,0,20.0,0.0,1,20.0
sashirestela__simple-openai,1,53,53.0,9,0,16.98,0.0,9,16.98
sblantipodi__firefly_luciferin,1,34,34.0,2,0,5.88,0.0,2,5.88
schemacrawler__SchemaCrawler,20,1800,90.0,73,0,3.87,0.0,73,3.87
scify__JedAIToolkit,1,63,63.0,5,0,7.94,0.0,5,7.94
scireum__s3ninja,1,176,176.0,21,2,11.93,1.14,21,11.93
scx567888__live-room-watcher,1,52,52.0,1,0,1.92,0.0,1,1.92
sendgrid__sendgrid-java,1,16,16.0,1,0,6.25,0.0,1,6.25
senshinya__My-RPC-Framework,5,80,16.0,7,0,4.38,0.0,7,4.38
servertap-io__servertap,1,139,139.0,24,0,17.27,0.0,24,17.27
shaiwz__data-platform-open,5,1393,278.6,28,174,1.89,12.93,28,1.89
shibing624__similarity,1,14,14.0,1,0,7.14,0.0,1,7.14
shred__acme4j,4,322,80.5,20,0,6.21,0.0,20,6.21
siam1026__siam-cloud,24,2016,84.0,85,307,2.75,14.58,85,2.75
siam1026__siam-server,8,430,53.75,6,69,1.13,14.69,6,1.13
signalapp__Signal-Server,4,763,190.75,4,90,0.24,14.54,4,0.24
skjolber__3d-bin-container-packing,7,265,37.86,14,0,5.15,0.0,14,5.15
slackhq__astra,1,330,330.0,68,0,20.61,0.0,68,20.61
sladkoff__minecraft-prometheus-exporter,1,93,93.0,6,0,6.45,0.0,6,6.45
smallrye__jandex,11,103,9.36,3,1,1.72,0.41,3,1.72
smallrye__smallrye-mutiny,10,294,29.4,15,10,2.83,3.63,15,2.83
smartboot__smart-socket,4,21,5.25,0,0,0.0,0.0,0,0.0
snehasishroy__leetcode-companywise-interview-questions,1,69,69.0,6,0,8.7,0.0,6,8.7
sockeqwe__annotationprocessing101,3,9,3.0,0,0,0.0,0.0,0,0.0
socketio__engine.io-client-java,1,7,7.0,0,0,0.0,0.0,0,0.0
socketio__socket.io-client-java,1,10,10.0,0,0,0.0,0.0,0,0.0
sofastack__sofa-ark,17,998,58.71,55,49,3.49,4.55,55,3.49
sofastack__sofa-jraft,7,232,33.14,7,0,2.61,0.0,7,2.61
softwaremill__jox,4,59,14.75,3,0,2.5,0.0,3,2.5
sohutv__mqcloud,5,442,88.4,2,18,0.44,3.74,2,0.44
somta__Juggle,5,372,74.4,5,64,2.5,18.61,5,2.5
soot-oss__SootUp,13,299,23.0,1,4,0.26,1.34,1,0.26
spacious-team__investbook,1,160,160.0,3,14,1.88,8.75,3,1.88
spotbugs__sonar-findbugs,7,191,27.29,20,0,4.42,0.0,20,4.42
spring-cloud-samples__brewery,8,1493,186.62,5,270,0.29,18.12,5,0.29
spring-cloud__spring-cloud-bus,1,148,148.0,2,7,1.35,4.73,2,1.35
spring-cloud__spring-cloud-circuitbreaker,2,240,120.0,1,13,0.3,5.38,1,0.3
spring-cloud__spring-cloud-commons,3,289,96.33,3,16,0.86,6.09,3,0.86
spring-cloud__spring-cloud-config,3,599,199.67,6,47,0.71,7.55,6,0.71
spring-cloud__spring-cloud-consul,5,758,151.6,20,51,2.38,5.96,20,2.38
spring-cloud__spring-cloud-contract,10,1451,145.1,26,262,1.51,18.02,26,1.51
spring-cloud__spring-cloud-gateway,9,1385,153.89,8,70,0.46,4.88,8,0.46
spring-cloud__spring-cloud-kubernetes,22,4299,195.41,96,412,2.21,9.63,96,2.21
spring-cloud__spring-cloud-netflix,1,283,283.0,8,27,2.83,9.54,8,2.83
spring-cloud__spring-cloud-openfeign,1,204,204.0,1,11,0.49,5.39,1,0.49
spring-cloud__spring-cloud-task,11,1260,114.55,9,97,0.6,7.59,9,0.6
spring-cloud__spring-cloud-vault,5,653,130.6,8,52,0.97,8.55,8,0.97
spring-cloud__spring-cloud-zookeeper,4,717,179.25,14,67,1.28,8.75,14,1.28
spring-cloud__stream-applications,14,1800,128.57,16,258,0.89,14.27,16,0.89
spring-guides__gs-accessing-data-jpa,2,150,75.0,0,13,0.0,8.67,0,0.0
spring-guides__gs-batch-processing,2,128,64.0,0,24,0.0,18.75,0,0.0
spring-guides__gs-rest-service,2,128,64.0,0,8,0.0,6.25,0,0.0
spring-io__initializr,9,611,67.89,16,51,1.65,8.23,16,1.65
spring-io__start.spring.io,2,238,119.0,5,32,1.33,11.44,5,1.33
spring-petclinic__spring-framework-petclinic,1,79,79.0,7,0,8.86,0.0,7,8.86
spring-petclinic__spring-petclinic-rest,2,209,104.5,0,16,0.0,8.14,0,0.0
spring-projects__spring-ai-examples,29,2362,81.45,6,359,0.3,16.16,6,0.3
spring-projects__spring-batch,5,693,138.6,97,0,11.85,0.0,97,11.85
spring-projects__spring-batch-extensions,6,565,94.17,20,96,4.31,17.26,20,4.31
spring-projects__spring-data-cassandra,1,210,210.0,31,4,14.76,1.9,31,14.76
spring-projects__spring-data-commons,1,115,115.0,7,3,6.09,2.61,7,6.09
spring-projects__spring-data-couchbase,1,99,99.0,8,2,8.08,2.02,8,8.08
spring-projects__spring-data-elasticsearch,1,162,162.0,8,4,4.94,2.47,8,4.94
spring-projects__spring-data-jpa,2,188,94.0,10,4,5.2,1.58,10,5.2
spring-projects__spring-data-mongodb,1,185,185.0,18,5,9.73,2.7,18,9.73
spring-projects__spring-data-neo4j,1,108,108.0,3,8,2.78,7.41,3,2.78
spring-projects__spring-data-redis,1,165,165.0,9,6,5.45,3.64,9,5.45
spring-projects__spring-data-rest,7,402,57.43,22,10,5.32,2.88,22,5.32
spring-projects__spring-grpc,14,1585,113.21,60,172,3.83,10.49,60,3.83
spring-projects__spring-hateoas,1,104,104.0,13,3,12.5,2.88,13,12.5
spring-projects__spring-modulith,27,2197,81.37,2,203,0.07,9.03,2,0.07
spring-projects__spring-vault,1,198,198.0,10,2,5.05,1.01,10,5.05
springdoc__springdoc-openapi,5,486,97.2,2,70,0.32,13.95,2,0.32
stanfordnlp__CoreNLP,1,30,30.0,2,0,6.67,0.0,2,6.67
stargate__stargate,28,2547,90.96,99,251,3.74,5.59,99,3.74
stefanbirkner__system-lambda,1,12,12.0,0,0,0.0,0.0,0,0.0
stefvanschie__IF,31,583,18.81,39,0,1.73,0.0,39,1.73
steve-community__steve,1,167,167.0,19,0,11.38,0.0,19,11.38
stick-i__scblogs,20,1526,76.3,0,210,0.0,9.33,0,0.0
stick-i__spel-validator,5,117,23.4,0,0,0.0,0.0,0,0.0
stleary__JSON-java,1,12,12.0,0,0,0.0,0.0,0,0.0
stratospheric-dev__stratospheric,2,36,18.0,0,0,0.0,0.0,0,0.0
streamthoughts__jikkou,15,957,63.8,31,76,3.04,6.8,31,3.04
strimzi__strimzi-kafka-bridge,1,234,234.0,42,0,17.95,0.0,42,17.95
subchen__jetbrick-template-2x,9,134,14.89,2,0,1.49,0.0,2,1.49
sventorben__keycloak-home-idp-discovery,1,248,248.0,46,9,18.55,3.63,46,18.55
sventorben__keycloak-restrict-client-auth,1,234,234.0,0,51,0.0,21.79,0,0.0
swagger-api__swagger-core,10,471,47.1,7,28,1.13,7.07,7,1.13
swagger-api__swagger-parser,6,259,43.17,17,1,5.64,5.56,17,5.64
swagger-api__swagger-petstore,1,90,90.0,19,0,21.11,0.0,19,21.11
t-oster__VisiCut,1,53,53.0,7,0,13.21,0.0,7,13.21
ta4j__ta4j,2,55,27.5,0,0,0.0,0.0,0,0.0
tabby-sec__tabby,1,114,114.0,6,12,5.26,10.53,6,5.26
talsma-ict__umldoclet,2,36,18.0,1,0,1.39,0.0,1,1.39
tapdata__tapdata,22,4172,189.64,163,498,3.6,12.16,163,3.6
tcurdt__jdeb,6,56,9.33,6,0,1.78,0.0,6,1.78
tensorflow__java,4,68,17.0,2,0,2.0,0.0,2,2.0
terrakube-io__terrakube,3,1039,346.33,12,164,1.02,15.73,12,1.02
terrier-org__terrier-core,12,1463,121.92,194,0,11.5,0.0,194,11.5
testingisdocumenting__webtau,26,548,21.08,13,57,1.61,5.33,13,1.61
testingisdocumenting__znai,19,867,45.63,8,58,0.46,6.34,8,0.46
thelastpickle__cassandra-reaper,1,273,273.0,0,0,0.0,0.0,0,0.0
thomasdarimont__keycloak-project-example,20,2843,142.15,201,131,4.65,5.45,201,4.65
tigase__tigase-server,1,24,24.0,0,0,0.0,0.0,0,0.0
tinylog-org__tinylog,13,272,20.92,18,2,5.36,0.47,18,5.36
tinystruct__smalltalk,1,114,114.0,16,0,14.04,0.0,16,14.04
tjake__Jlama,4,214,53.5,8,25,4.42,4.4,8,4.42
tkaczmarzyk__specification-arg-resolver,2,190,95.0,12,13,6.74,6.38,12,6.74
tntim96__JSCover,1,37,37.0,1,0,2.7,0.0,1,2.7
togglz__togglz,30,4450,148.33,219,115,3.95,2.44,219,3.95
toolbox4minecraft__amidst,1,24,24.0,2,0,8.33,0.0,2,8.33
tordanik__OSM2World,3,306,102.0,0,0,0.0,0.0,0,0.0
tr7zw__Item-NBT-API,5,133,26.6,5,0,3.77,0.0,5,3.77
trekawek__coffee-gb,1,19,19.0,0,0,0.0,0.0,0,0.0
tuituidan__team-nav,1,260,260.0,9,34,3.46,13.08,9,3.46
tulskiy__jkeymaster,2,18,9.0,1,0,4.54,0.0,1,4.54
turkraft__springfilter,6,365,60.83,1,36,0.22,9.68,1,0.22
turms-im__turms,12,369,30.75,11,42,2.99,8.64,11,2.99
twelvet-projects__twelvet,19,1864,98.11,6,190,0.21,9.56,6,0.21
twilio__twilio-java,1,35,35.0,0,0,0.0,0.0,0,0.0
tywo45__t-io,1,0,0.0,0,0,0.0,0.0,0,0.0
uber-common__jvm-profiler,1,17,17.0,1,0,5.88,0.0,1,5.88
ulisesbocchio__jasypt-spring-boot,3,191,63.67,4,15,2.78,8.09,4,2.78
undertow-io__undertow,6,280,46.67,2,5,0.28,2.28,2,0.28
uniVocity__csv-parsers-comparison,1,62,62.0,6,0,9.68,0.0,6,9.68
usdAG__cstc,1,17,17.0,2,0,11.76,0.0,2,11.76
vassalengine__vassal,2,70,35.0,5,0,3.57,0.0,5,3.57
vavr-io__vavr,1,13,13.0,0,0,0.0,0.0,0,0.0
vaycore__OneScan,3,4,1.33,0,0,0.0,0.0,0,0.0
veraPDF__veraPDF-library,3,26,8.67,0,0,0.0,0.0,0,0.0
vert-x3__vertx-web,21,968,46.1,12,41,0.89,4.25,12,0.89
victools__jsonschema-generator,8,271,33.88,10,0,3.67,0.0,10,3.67
vivo-project__VIVO,1,214,214.0,35,0,16.36,0.0,35,16.36
vladmihalcea__high-performance-java-persistence,2,372,186.0,49,0,13.18,0.0,49,13.18
vulnersCom__burp-vulners-scanner,1,22,22.0,1,0,4.55,0.0,1,4.55
vzakharchenko__keycloak-radius-plugin,7,1413,201.86,211,35,15.02,2.54,211,15.02
wangguanquan__eec,1,10,10.0,1,0,10.0,0.0,1,10.0
warmuuh__milkman,10,215,21.5,27,1,13.09,0.21,27,13.09
watson-developer-cloud__java-sdk,8,302,37.75,29,6,9.47,1.9,29,9.47
wayn111__waynboot-mall,10,1490,149.0,25,177,1.14,10.27,25,1.14
weibocom__motan,20,902,45.1,73,42,10.53,2.03,73,10.53
weld__core,15,603,40.2,11,17,0.45,1.17,11,0.45
wesleyegberto__java-new-features,2,0,0.0,0,0,0.0,0.0,0,0.0
wgzhao__dbeaver-agent,1,14,14.0,0,0,0.0,0.0,0,0.0
wildfirechat__app-server,1,176,176.0,0,0,0.0,0.0,0,0.0
wildfirechat__im-server,3,81,27.0,14,0,10.78,0.0,14,10.78
wimdeblauwe__error-handling-spring-boot-starter,1,88,88.0,0,6,0.0,6.82,0,0.0
wimdeblauwe__htmx-spring-boot,2,168,84.0,0,14,0.0,8.09,0,0.0
winder__Universal-G-Code-Sender,22,3329,151.32,179,0,5.41,0.0,179,5.41
winezer0__APIFinderPlus,1,19,19.0,1,0,5.26,0.0,1,5.26
wkrzywiec__library-hexagonal,1,152,152.0,0,0,0.0,0.0,0,0.0
wmixvideo__nfe,1,39,39.0,5,0,12.82,0.0,5,12.82
wso2__product-apim,8,5197,649.62,0,0,0.0,0.0,0,0.0
wushuo894__ani-rss,1,14,14.0,0,0,0.0,0.0,0,0.0
wvengen__proguard-maven-plugin,2,35,17.5,8,0,11.43,0.0,8,11.43
wwwlike__vlife,4,427,106.75,0,0,0.0,0.0,0,0.0
xaecbd__KCenter,1,118,118.0,0,0,0.0,0.0,0,0.0
xdevplatform__twitter-api-java-sdk,2,70,35.0,8,0,11.58,0.0,8,11.58
xiaonuobase__Snowy,16,3093,193.31,161,416,4.6,13.49,161,4.6
xiaou61__U-space,28,3591,128.25,61,590,0.98,15.11,61,0.98
xmlunit__xmlunit,7,72,10.29,0,4,0.0,5.2,0,0.0
xtuhcy__gecco,1,23,23.0,1,0,4.35,0.0,1,4.35
xuhuisheng__sonar-l10n-zh,1,57,57.0,8,0,14.04,0.0,8,14.04
xuxueli__xxl-boot,1,90,90.0,0,3,0.0,3.33,0,0.0
xuxueli__xxl-conf,4,178,44.5,0,7,0.0,2.4,0,0.0
xuxueli__xxl-crawler,1,48,48.0,0,0,0.0,0.0,0,0.0
xuxueli__xxl-job,5,287,57.4,0,22,0.0,4.92,0,0.0
xuxueli__xxl-mq,4,193,48.25,0,7,0.0,2.28,0,0.0
xuxueli__xxl-rpc,8,173,21.62,0,8,0.0,1.52,0,0.0
xuxueli__xxl-sso,8,540,67.5,1,28,0.45,4.79,1,0.45
xuxueli__xxl-tool,1,36,36.0,2,0,5.56,0.0,2,5.56
yamcs__yamcs,12,518,43.17,18,0,2.85,0.0,18,2.85
yangfuhai__jboot,5,551,110.2,79,3,16.36,0.19,79,16.36
yangzongzhuan__RuoYi-Cloud,16,1878,117.38,0,334,0.0,17.79,0,0.0
yangzongzhuan__RuoYi-Vue,6,195,32.5,1,40,0.43,18.09,1,0.43
yangzongzhuan__RuoYi-Vue-fast,1,156,156.0,0,0,0.0,0.0,0,0.0
yegor256__cactoos,1,22,22.0,0,0,0.0,0.0,0,0.0
yegor256__qulice,12,261,21.75,25,19,2.42,3.37,25,2.42
yegor256__s3auth,3,268,89.33,24,3,8.98,1.14,24,8.98
yegor256__takes,2,122,61.0,4,6,3.39,5.39,4,3.39
yegor256__xembly,1,42,42.0,3,1,7.14,2.38,3,7.14
yindz__common-random,1,23,23.0,1,0,4.35,0.0,1,4.35
yint-tech__sekiro-open,1,10,10.0,1,0,10.0,0.0,1,10.0
yinwang0__pysonar2,1,17,17.0,0,0,0.0,0.0,0,0.0
youngmonkeys__ezyfox-server,6,221,36.83,0,0,0.0,0.0,0,0.0
youtongluan__sumk,7,123,17.57,0,2,0.0,1.0,0,0.0
yulichang__mybatis-plus-join,19,657,34.58,1,42,0.18,4.23,1,0.18
yzcheng90__X-SpringBoot,1,165,165.0,13,18,7.88,10.91,13,7.88
zalando__jackson-datatype-money,1,38,38.0,3,0,7.89,0.0,3,7.89
zccbbg__wms-ruoyi,22,3238,147.18,16,551,0.35,17.08,16,0.35
zendesk__maxwell,1,267,267.0,83,0,31.09,0.0,83,31.09
zfile-dev__zfile,1,199,199.0,3,36,1.51,18.09,3,1.51
zfoo-project__zfoo,9,420,46.67,13,0,3.06,0.0,13,3.06
zinja-coder__jadx-ai-mcp,1,27,27.0,1,0,3.7,0.0,1,3.7
zuihou__lamp-util,20,1544,77.2,0,203,0.0,9.84,0,0.0
zxing__zxing,4,57,14.25,0,0,0.0,0.0,0,0.0
