Library_Name,Count,Percentage
io.dropwizard.metrics:metrics-core,140,0.009284743177371754
org.apache.dubbo:dubbo-remoting-zookeeper,139,0.00921842358324767
org.jline:jline-terminal,139,0.00921842358324767
org.infinispan:infinispan-server-resp,138,0.009152103989123587
io.grpc:grpc-alts,134,0.008886825612627252
org.springframework.shell:spring-shell-core,133,0.008820506018503167
com.alibaba.csp:sentinel-transport-simple-http,132,0.008754186424379083
io.github.linpeilie:mapstruct-plus,132,0.008754186424379083
org.eclipse.jetty.ee10:jetty-ee10-servlet,131,0.008687866830254997
com.fasterxml.jackson.dataformat:jackson-dataformat-smile,128,0.008488908047882746
org.apache.dubbo:dubbo-common,128,0.008488908047882746
org.apache.httpcomponents:httpclient,128,0.008488908047882746
org.apache.camel.quarkus:camel-quarkus-core,126,0.008356268859634579
org.hibernate.search:hibernate-search-engine,126,0.008356268859634579
org.apache.sshd:sshd-osgi,125,0.008289949265510495
org.apache.kerby:kerb-core,125,0.008289949265510495
us.fatehi:schemacrawler-api,124,0.008223629671386411
io.rest-assured:rest-assured,124,0.008223629671386411
com.aliyun:credentials-java,122,0.008090990483138244
io.grpc:grpc-grpclb,121,0.008024670889014159
org.apache.spark:spark-network-common_2.10,120,0.007958351294890075
com.google.cloud:google-cloud-pubsublite,119,0.007892031700765991
io.gatling:gatling-http-client,118,0.007825712106641907
org.apache.camel:camel-core-reifier,117,0.007759392512517824
io.fabric8:kubernetes-model-admissionregistration,117,0.007759392512517824
org.glassfish.jersey.core:jersey-server,115,0.007626753324269656
org.apache.maven.wagon:wagon-provider-api,115,0.007626753324269656
io.mockk:mockk-dsl-jvm,115,0.007626753324269656
org.eclipse.jetty.ee9:jetty-ee9-nested,115,0.007626753324269656
org.mongodb:mongodb-driver-sync,115,0.007626753324269656
commons-cli:commons-cli,114,0.007560433730145572
io.grpc:grpc-testing,114,0.007560433730145572
cn.dev33:sa-token-spring-boot-autoconfig,114,0.007560433730145572
org.flowable:flowable-cmmn-api,112,0.007427794541897403
org.seleniumhq.selenium:selenium-firefox-driver,110,0.007295155353649236
io.swagger.core.v3:swagger-models,110,0.007295155353649236
org.eclipse.platform:org.eclipse.osgi,108,0.007162516165401067
net.jpountz.lz4:lz4,108,0.007162516165401067
org.bouncycastle:bcpg-jdk18on,107,0.007096196571276984
org.apache.httpcomponents.core5:httpcore5,106,0.0070298769771529
org.apache.commons:commons-collections4,105,0.006963557383028816
io.quarkus:quarkus-bootstrap-core,104,0.006897237788904731
io.gatling:gatling-app,104,0.006897237788904731
io.netty:netty-resolver-dns,103,0.006830918194780648
org.eclipse.aether:aether-spi,100,0.006631959412408395
com.google.api.grpc:grpc-google-cloud-storage-v2,100,0.006631959412408395
io.cucumber:query,100,0.006631959412408395
org.jsoup:jsoup,97,0.006433000630036144
io.quarkus:quarkus-vertx,97,0.006433000630036144
