Module,Has_Used_Breaking_Changes,Count
pagehelper__Mybatis-PageHelper_pagehelper__Mybatis-PageHelper,Yes,6
paulcwarren__spring-content_spring-content-rest,Yes,1
paulcwarren__spring-content_spring-versions-jpa,Yes,13
pengpan__91160-cli_pengpan__91160-cli,Yes,7
petterobam__html2file_petterobam__html2file,Yes,8
pig-mesh__pig_pig-common-xss,Yes,2
pinterest__secor_pinterest__secor,Yes,5
pixelsdb__pixels_pixels-amphi,Yes,18
pixelsdb__pixels_pixels-cli,Yes,7
pixelsdb__pixels_pixels-daemon,Yes,7
pixelsdb__pixels_pixels-example,Yes,12
pixelsdb__pixels_pixels-index-rocksdb,Yes,4
pixelsdb__pixels_pixels-parser,Yes,12
pixelsdb__pixels_pixels-storage-gcs,Yes,21
pixelsdb__pixels_pixels-storage-hdfs,Yes,7
pixelsdb__pixels_pixels-storage-redis,Yes,33
pixelsdb__pixels_pixels-storage-stream,Yes,2
prometheus__jmx_exporter_integration_tests,Yes,8
qifan777__dive-into-spring-ai_qifan777__dive-into-spring-ai,Yes,10
querydsl__querydsl_querydsl-lucene4,Yes,14
querydsl__querydsl_querydsl-lucene5,Yes,90
rayokota__kareldb_kareldb-core,Yes,12
rayokota__kcache_kcache-rdbms,Yes,8
rayokota__kcache_kcache-rocksdb,Yes,3
reficio__p2-maven-plugin_reficio__p2-maven-plugin,Yes,11
risesoft-y9__DataFlow-Engine_risenet-y9boot-beta-client,Yes,10
runelite__runelite_runelite-jshell,Yes,1
s3-wagon-private__s3-wagon-private_s3-wagon-private__s3-wagon-private,Yes,15
schemacrawler__SchemaCrawler_schemacrawler-commandline,Yes,1
schemacrawler__SchemaCrawler_schemacrawler-loader,Yes,1
schemacrawler__SchemaCrawler_schemacrawler-scripting,Yes,2
schemacrawler__SchemaCrawler_schemacrawler-text,Yes,1
schemacrawler__SchemaCrawler_schemacrawler-tools,Yes,3
snehasishroy__leetcode-companywise-interview-questions,Yes,12
sofastack__sofa-jraft_jraft-example,Yes,2
sofastack__sofa-jraft_rheakv-pd,Yes,2
sohutv__mqcloud_mq-client-open,Yes,20
sohutv__mqcloud_mq-flink-client,Yes,26
somta__Juggle_common,Yes,7
SPARQL-Anything__sparql.anything_sparql-anything-cli,Yes,1
SPARQL-Anything__sparql.anything_sparql-anything-engine,Yes,1
SPARQL-Anything__sparql.anything_sparql-anything-model,Yes,3
spring-petclinic__spring-framework-petclinic_spring-petclinic__spring-framework-petclinic,Yes,18
spring-petclinic__spring-petclinic-rest_openapi,Yes,51
spring-petclinic__spring-petclinic-rest_spring-petclinic__spring-petclinic-rest,Yes,1
spring-projects__spring-ai-examples_manual-webflux-server,Yes,3
spring-projects__spring-grpc_spring-grpc-core,Yes,6
stick-i__scblogs_blink-server,Yes,3
stick-i__scblogs_blog-server,Yes,19
stick-i__scblogs_comment-server,Yes,3
stick-i__scblogs_common-tool,Yes,4
stick-i__scblogs_user-server,Yes,11
strimzi__strimzi-kafka-bridge_strimzi__strimzi-kafka-bridge,Yes,5
subchen__jetbrick-template-2x_jetbrick-template-web,Yes,1
swagger-api__swagger-core_swagger-eclipse-transformer-maven-plugin,Yes,18
tapdata__tapdata_observable-module,Yes,1
tapdata__tapdata_tapdata-cli,Yes,3
TDuckCloud__tduck-platform_tduck-account,Yes,13
TDuckCloud__tduck-platform_tduck-api,Yes,3
TDuckCloud__tduck-platform_tduck-common,Yes,4
TDuckCloud__tduck-platform_tduck-storage,Yes,2
tkaczmarzyk__specification-arg-resolver_performance-tests,Yes,1
tkaczmarzyk__specification-arg-resolver_tkaczmarzyk__specification-arg-resolver,Yes,3
togglz__togglz_cloud-datastore,Yes,4
togglz__togglz_cloud-storage,Yes,2
togglz__togglz_console,Yes,3
trekawek__coffee-gb_trekawek__coffee-gb,Yes,23
tuituidan__team-nav_tuituidan__team-nav,Yes,14
tulskiy__jkeymaster_core,Yes,34
turkraft__springfilter_jpa,Yes,19
uber-common__jvm-profiler_uber-common__jvm-profiler,Yes,5
usdAG__cstc_usdAG__cstc,Yes,16
victools__jsonschema-generator_jsonschema-examples,Yes,2
victools__jsonschema-generator_jsonschema-module-jackson,Yes,2
victools__jsonschema-generator_jsonschema-module-swagger-2,Yes,3
weibocom__motan_filter-opentracing,Yes,4
weibocom__motan_motan-protocol-grpc,Yes,144
weibocom__motan_motan-protocol-restful,Yes,28
wildfirechat__app-server_wildfirechat__app-server,Yes,9
winder__Universal-G-Code-Sender_ugs-pendant,Yes,13
winder__Universal-G-Code-Sender_ugs-platform-plugin-cloud-storage,Yes,3
wvengen__proguard-maven-plugin_wvengen__proguard-maven-plugin,Yes,4
X1r0z__JNDIMap_X1r0z__JNDIMap,Yes,13
xaecbd__KCenter_KCenter-Base,Yes,53
xiaonuobase__Snowy_snowy-common,Yes,8
xiaonuobase__Snowy_snowy-plugin-auth,Yes,36
xiaonuobase__Snowy_snowy-plugin-auth-api,Yes,14
xtuhcy__gecco_xtuhcy__gecco,Yes,49
yamcs__yamcs_yamcs-client,Yes,26
yangzongzhuan__RuoYi-Cloud_ruoyi-common-core,Yes,17
yangzongzhuan__RuoYi-Cloud_ruoyi-gateway,Yes,1
yegor256__qulice_qulice-maven-plugin,Yes,3
yegor256__s3auth_s3auth-hosts,Yes,4
yulichang__mybatis-plus-join_mybatis-plus-join-adapter-v312,Yes,11
yzcheng90__X-SpringBoot_yzcheng90__X-SpringBoot,Yes,29
zccbbg__wms-ruoyi_ruoyi-common-encrypt,Yes,1
zccbbg__wms-ruoyi_ruoyi-common-mybatis,Yes,13
zccbbg__wms-ruoyi_ruoyi-common-oss,Yes,1
zccbbg__wms-ruoyi_ruoyi-common-redis,Yes,1
zccbbg__wms-ruoyi_ruoyi-common-satoken,Yes,7
Zerek-Cheng__Simple-Assets-Platform_Zerek-Cheng__Simple-Assets-Platform,Yes,16
zfoo-project__zfoo_net,Yes,32
zuihou__lamp-util_lamp-core,Yes,7
zuihou__lamp-util_lamp-databases,Yes,7
zuihou__lamp-util_xxl-job-core,Yes,8
201206030__novel-cloud_novel-author-api,No,0
201206030__novel-cloud_novel-author-service,No,0
201206030__novel-cloud_novel-book-api,No,0
201206030__novel-cloud_novel-book-service,No,0
201206030__novel-cloud_novel-gateway,No,0
201206030__novel-cloud_novel-home,No,0
201206030__novel-cloud_novel-monitor,No,0
201206030__novel-cloud_novel-news-api,No,0
201206030__novel-cloud_novel-news-service,No,0
201206030__novel-cloud_novel-resource,No,0
201206030__novel-cloud_novel-user-api,No,0
201206030__novel-cloud_novel-user-service,No,0
642933588__jiron-cloud_jiron-api-dolphinscheduler,No,0
642933588__jiron-cloud_jiron-api-system,No,0
642933588__jiron-cloud_jiron-auth,No,0
642933588__jiron-cloud_jiron-common-datascope,No,0
642933588__jiron-cloud_jiron-common-datasource,No,0
642933588__jiron-cloud_jiron-common-log,No,0
642933588__jiron-cloud_jiron-common-redis,No,0
642933588__jiron-cloud_jiron-common-security,No,0
642933588__jiron-cloud_jiron-common-sensitive,No,0
642933588__jiron-cloud_jiron-common-swagger,No,0
642933588__jiron-cloud_jiron-file,No,0
642933588__jiron-cloud_jiron-gateway,No,0
642933588__jiron-cloud_jiron-gen,No,0
642933588__jiron-cloud_jiron-job,No,0
642933588__jiron-cloud_jiron-monitor,No,0
642933588__jiron-cloud_jiron-system,No,0
86dbs__dbsyncer_dbsyncer-biz,No,0
86dbs__dbsyncer_dbsyncer-common,No,0
86dbs__dbsyncer_dbsyncer-connector-base,No,0
86dbs__dbsyncer_dbsyncer-connector-file,No,0
86dbs__dbsyncer_dbsyncer-connector-mysql,No,0
86dbs__dbsyncer_dbsyncer-connector-oracle,No,0
86dbs__dbsyncer_dbsyncer-connector-postgresql,No,0
86dbs__dbsyncer_dbsyncer-connector-sqlite,No,0
86dbs__dbsyncer_dbsyncer-connector-sqlserver,No,0
86dbs__dbsyncer_dbsyncer-manager,No,0
86dbs__dbsyncer_dbsyncer-parser,No,0
86dbs__dbsyncer_dbsyncer-plugin,No,0
86dbs__dbsyncer_dbsyncer-web,No,0
94fzb__zrlog_package-web,No,0
94fzb__zrlog_web,No,0
abstracta__jmeter-java-dsl_jmeter-java-dsl-azure,No,0
abstracta__jmeter-java-dsl_jmeter-java-dsl-blazemeter,No,0
abstracta__jmeter-java-dsl_jmeter-java-dsl-bridge,No,0
abstracta__jmeter-java-dsl_jmeter-java-dsl-dashboard,No,0
