Project,Total_Breaking_Changes,Used_Breaking_Changes,Binary_Compatibility_Rate,Source_Compatibility_Rate,Transitive_Changes,Usage_Rate
SonarSource__sonarlint-core_commons,29,0,0.10344827586206896,0.0,1,0.0
SonarSource__sonarlint-core_http,6,0,0.0,0.0,1,0.0
SonarSource__sonarlint-core_java-client-utils,1,0,0.0,0.0,1,0.0
SonarSource__sonarlint-core_java-custom-rules,2,0,0.5,0.0,0,0.0
SonarSource__sonarlint-core_module_a1,2,0,0.0,0.0,0,0.0
SonarSource__sonarlint-core_module_a2,2,0,0.0,0.0,0,0.0
SonarSource__sonarlint-core_module_b1,2,0,0.0,0.0,0,0.0
SonarSource__sonarlint-core_module_b2,2,0,0.0,0.0,0,0.0
SonarSource__sonarlint-core_plugin-commons,3,0,0.6666666666666666,0.0,2,0.0
SonarSource__sonarlint-core_rpc-impl,30,0,0.0,0.0,30,0.0
SonarSource__sonarlint-core_rpc-java-client,30,0,0.0,0.0,30,0.0
SonarSource__sonarlint-core_rule-extractor,2,0,0.5,0.0,2,0.0
SonarSource__sonarlint-core_sample-java-taint,11,0,1.0,0.0,0,0.0
SonarSource__sonarlint-core_server-api,195,0,0.7794871794871795,0.0,132,0.0
SonarSource__sonarlint-core_server-connection,48,0,0.8125,0.0,3,0.0
SonarSource__sonarlint-core_telemetry,30,0,0.0,0.0,1,0.0
SonarSource__sonarlint-core_test-utils,1,0,0.0,0.0,1,0.0
SourceLabOrg__kafka-webview_dev-cluster,16,0,0.4375,0.0,3,0.0
SpigotMC__BungeeCord_api,111,0,0.21621621621621623,0.0,99,0.0
SpigotMC__BungeeCord_bootstrap,83,0,0.21686746987951808,0.0,83,0.0
SpigotMC__BungeeCord_chat,100,0,0.18,0.0,83,0.0
SpigotMC__BungeeCord_cmd-alert,83,0,0.21686746987951808,0.0,83,0.0
SpigotMC__BungeeCord_cmd-find,83,0,0.21686746987951808,0.0,83,0.0
SpigotMC__BungeeCord_cmd-kick,83,0,0.21686746987951808,0.0,83,0.0
SpigotMC__BungeeCord_cmd-list,83,0,0.21686746987951808,0.0,83,0.0
SpigotMC__BungeeCord_cmd-send,83,0,0.21686746987951808,0.0,83,0.0
SpigotMC__BungeeCord_cmd-server,83,0,0.21686746987951808,0.0,83,0.0
SpigotMC__BungeeCord_config,112,0,0.16071428571428573,0.0,83,0.0
SpigotMC__BungeeCord_dialog,83,0,0.21686746987951808,0.0,83,0.0
SpigotMC__BungeeCord_event,83,0,0.21686746987951808,0.0,83,0.0
SpigotMC__BungeeCord_log,107,0,0.16822429906542055,0.0,83,0.0
SpigotMC__BungeeCord_native,95,0,0.25263157894736843,0.0,95,0.0
SpigotMC__BungeeCord_nbt,83,0,0.21686746987951808,0.0,83,0.0
SpigotMC__BungeeCord_protocol,97,0,0.26804123711340205,0.0,95,0.0
SpigotMC__BungeeCord_proxy,171,0,0.3508771929824561,0.0,171,0.0
SpigotMC__BungeeCord_query,95,0,0.25263157894736843,0.0,95,0.0
SpigotMC__BungeeCord_reconnect-yaml,83,0,0.21686746987951808,0.0,83,0.0
SpigotMC__BungeeCord_serializer,100,0,0.18,0.0,83,0.0
SpigotMC__BungeeCord_slf4j,83,0,0.21686746987951808,0.0,83,0.0
TDuckCloud__tduck-platform_tduck-account,1403,17,0.13114754098360656,0.0,860,1.2116892373485388
TDuckCloud__tduck-platform_tduck-api,1795,2,0.12144846796657381,0.0,1736,0.11142061281337048
TDuckCloud__tduck-platform_tduck-common,29990,5,0.005101700566855619,0.0,1194,0.01667222407469156
TDuckCloud__tduck-platform_tduck-form,1826,0,0.11610076670317634,0.0,1738,0.0
TDuckCloud__tduck-platform_tduck-storage,571,2,0.4500875656742557,0.0,509,0.3502626970227671
TheKingOfDuck__SinkFinder_TheKingOfDuck__SinkFinder,1071,0,0.04481792717086835,0.0,547,0.0
TimefoldAI__timefold-quickstarts_bed-allocation,2152,0,0.019516728624535316,0.0,2085,0.0
TimefoldAI__timefold-quickstarts_conference-scheduling,3545,0,0.013540197461212976,0.0,3478,0.0
TimefoldAI__timefold-quickstarts_employee-scheduling,2152,0,0.019516728624535316,0.0,2085,0.0
TimefoldAI__timefold-quickstarts_facility-location,2047,0,0.018563751831949193,0.0,1982,0.0
TimefoldAI__timefold-quickstarts_flight-crew-scheduling,2152,0,0.019516728624535316,0.0,2085,0.0
TimefoldAI__timefold-quickstarts_food-packaging,2047,0,0.018563751831949193,0.0,1982,0.0
TimefoldAI__timefold-quickstarts_hello-world,214,0,0.06542056074766354,0.0,107,0.0
TimefoldAI__timefold-quickstarts_maintenance-scheduling,2152,0,0.019516728624535316,0.0,2085,0.0
TimefoldAI__timefold-quickstarts_meeting-scheduling,2152,0,0.019516728624535316,0.0,2085,0.0
TimefoldAI__timefold-quickstarts_order-picking,1940,0,0.015979381443298968,0.0,1875,0.0
